Date,Startup,Industry,SubVertical,Location,Investors,Round,AmountInCrores,URL,CleanedStartup,StandardizedStartup,InvestorsCleaned,Year
2020-06-10,Hapramp,"Block Chain, Cryptocurrency","Block Chain, Cryptocurrency",Gurugram,Anand Mahindra,Seed,8.606,https://hapramp.com/,hapramp,hapramp,['anand mahindra'],2020.0
2020-05-21,leap.club,Professional Network for Women,Professional Network for Women,Gurugram,"Whiteboard Capital (Sandeep Tandon’s VC fund), FirstCheque, Artha India Ventures, Sweta Rau (Founder, White Ventures), Amrish Rau (CEO Pinelabs, Founder Citrus Pay), Deepak Abbot (Former SVP, Paytm), and Harpreet Singh Grover (Co-founder, Co-Cubes) and others.
",Pre Seed,2.92604,https://leap.club/,leapclub,leapclub,"['whiteboard capital sandeep tandons vc fund', 'firstcheque', 'artha india ventures', 'sweta rau founder', 'white ventures', 'amrish rau ceo pinelabs', 'founder citrus pay', 'deepak abbot former svp', 'paytm', 'and harpreet singh grover cofounder', 'cocubes and others']",2020.0
2020-05-21,No Worry No Tension Healthcare (NWNT),Healthcare,"Emotional health and mental health wellness

",New Delhi,"Amit Burman, Chairman of Dabur India,
",Pre Series A,,http://www.nwnt.ai/,no worry no tension healthcare nwnt,no worry no tension healthcare nwnt,"['amit burman', 'chairman of dabur india', '']",2020.0
2020-05-20,"Khatabook
",Utility Solutions Provider,"Financial Services, Accounting, Payments. ",Bangalore,"B Capital Group, Sequoia India, Partners of DST Global, Tencent, GGV, RTP Global, Hummingbird Ventures, Falcon Edge Capital, Rocketship.vc, Unilever Ventures, Kevin Weil, Alexander Will, Kunal Shah, Kunal Bahl, and Rohit Bansal


",Series B,516.36,https://khatabook.com/,khatabook,khatabook,"['b capital group', 'sequoia india', 'partners of dst global', 'tencent', 'ggv', 'rtp global', 'hummingbird ventures', 'falcon edge capital', 'rocketshipvc', 'unilever ventures', 'kevin weil', 'alexander will', 'kunal shah', 'kunal bahl', 'and rohit bansal']",2020.0
2020-05-20,Tring,Advertising,Celebrity Engagement Platform,Mumbai,"Tencent, Ark Impact, KoKalyan Krishnamurthy of Flipkart, Sujeet Kumar of Udaan, Gaurav Munjal of Unacademy, Keshav Sanghi of VentureWorks India, Roman Saini of Unacademy, Hemesh Singh of Unacademy, and Sumit Jain of Opentalk amongst others. 
",Angel,,https://www.tring.co.in/,tring,tring,"['tencent', 'ark impact', 'kokalyan krishnamurthy of flipkart', 'sujeet kumar of udaan', 'gaurav munjal of unacademy', 'keshav sanghi of ventureworks india', 'roman saini of unacademy', 'hemesh singh of unacademy', 'and sumit jain of opentalk amongst others']",2020.0
2020-05-19,Vakilsearch,LegalTech,"Online professional services platform for lawyers, corporate bodies, and professionals in India.",Chennai,"Udaan co-founder, Sujeet Kumar",Series A,,https://vakilsearch.com/,vakilsearch,vakilsearch,"['udaan cofounder', 'sujeet kumar']",2020.0
2020-05-19,"Lendingkart
",FinTech,"Financial Services, Lending, Micro Lending.",Ahmedabad,"Fullerton Financial Holdings Pte Ltd (FFH) and Bertelsmann India Investments, Sistema Asia Fund and India Quotient. 
",Series D,361.452,https://www.lendingkart.com/,lendingkart,lendingkart,"['fullerton financial holdings pte ltd ffh and bertelsmann india investments', 'sistema asia fund and india quotient']",2020.0
2020-05-18,LetsTransport,Logistics Solution Provider,"Logistics, Transportation, Travel",Bangalore,InnoVen Capital,Venture - Series Unknown,14.6302,https://letstransport.in/,letstransport,letstransport,['innoven capital'],2020.0
2020-05-13,Magicpin,E-commerce,E-commerce,Gurugram,"Lightspeed Venture Partners, along with the participation of Moonstone Investments, WaterBridge Venture, The Bunting Family Private Fund, and Srivatsan Rajan
",Series C,34.424,https://magicpin.in/india/Pune/home/,magicpin,magicpin,"['lightspeed venture partners', 'along with the participation of moonstone investments', 'waterbridge venture', 'the bunting family private fund', 'and srivatsan rajan']",2020.0
2020-05-11,Nykaa,E-commerce,Cosmetic and Beauty Products,Mumbai,Steadview Capital,Series F,75.7328,https://classplusapp.com/,nykaa,nykaa,['steadview capital'],2020.0
